text,label,label_id,is_pseudo
"13
het om cultuur- en religiekritiek, en dat zou geen racisme zĳ n. Wat mĳ  betreft is islamofobie een van de vormen die racisme in 
de moderne tĳ d heeft aangenomen. Ik kom daar later in dit boek 
in hoofdstuk 8 uitgebreider op terug. In het parlementaire politieke en maatschappelĳ ke debat 
waren de laatste jaren vooral de termen allochtoon versus au-
tochtoon in gebruik. Verschillende andere termen zĳ n daaraan 
voorafgegaan: van vreemdeling en gastarbeider naar buitenlandse 
arbeider naar buitenlandse werknemer naar allochtoon. Iedere 
term raakte besmet door stigmatisering en stereotypering. De 
Wetenschappelĳ k Raad voor het Regeringsbeleid (WRR) heeft in 
2016 geadviseerd de term allochtoon en autochtoon te vervangen. Indien groepen specifĳiek moeten worden benoemd, en beleids-
technisch is dat nodig, wordt voorgesteld de term Nederlanders 
met een migratieachtergrond of een specifĳieke benoeming van 
de herkomst te gebruiken, bĳ voorbeeld Turkse Nederlanders. Er 
wordt steeds weer naar andere termen gezocht. Want kun je de 
derde generatie nog migranten noemen en kun je de grote groep 
mensen die om verschillende redenen in de eenentwintigste 
eeuw naar Europa zĳ n gekomen, nog over één kam scheren?",Modern Racism & Inequality,2,False
"Het was immers verbo­
den om moslims te verkopen. Slaafgemaakten vluchtten zelfs vaak naar de 
rivalen van de voc, zoals de Britse en Franse Oost-Indische Compagnieën, 
om niet gevangengenomen te worden. Strafregisters en zelfs de periodieke rapporten die vanuit verschillende 
buitenposten naar Batavia werden gestuurd leveren belangrijke inzichten 
op in de leefwereld van de slaafgemaakten. Verzet speelde hierin een 
belangrijke rol. De sociale geschiedschrijving van de slavernij en de slaven­
handel in Europese nederzettingen in Zuid-Azië staat nog in de kinder­
schoenen. Historici zijn pas kortgeleden begonnen met het reconstrueren 
van de details. Een aspect dat veel invloed had op de leefwereld van de 
slaafgemaakten was de mate van bewegingsvrijheid. In Bengalen mochten 
ze zich binnen de nederzetting vrij bewegen en omgaan met allerlei arbei­
ders, zowel vrije als slaafgemaakte. Simon van Orissa, die in 1739 probeer­
de om het huis van zijn eigenaar te ontvluchten, kreeg daarbij hulp van 
een metselaar die op dat moment in het huis aan het werk was. Op de 
dagen dat de metselaar daar bezig was, vroeg hij meermaals aan Simon: 
‘Waarom ben je hier nog?’ Als betaalde arbeider die net als veel andere 
arbeiders regelmatig in verschillende nederzettingen werkte, had hij 
waarschijnlijk door dat huisslaven slechts een fractie vormden van de",Historical Slavery,1,False
"13
2>
ZORG & WELZIJN
ZWART MANIFEST
INLEIDING
 
De schadelijke impact van racisme en discriminatie op de psychische  en fysieke gezondheid van 
Zwarte mensen en mensen van kleur is groot. De dagelijkse stress, dreiging en geweld, zorgt volgens 
Amerikaans onderzoek[1] uit februari 2021 voor een snellere veroudering van Zwarte mensen. Zij zijn 
onevenredig vaak ziek en lijden vaker aan mentale aandoeningen. Bovenop de aanwezige klachten 
krijgen zij te maken met vooroordelen, discriminatie en racisme wanneer zij medische hulp zoeken. De huidskleur is geen directe, biologische oorzaak. Maar vanwege (sociaal-economische) ongelijk-
heid en uitsluiting is er meer armoede onder Zwarte mensen en hebben zij minder mogelijkheden en 
minder perspectieven. De zorg die Zwarte mensen krijgen is in veel gevallen niet de zorg die ze nodig hebben, omdat uit 
wordt gegaan van de witte norm, in een dominant westers diagnostisch systeem. En terwijl werken in 
de zorg voor iedereen stressvol is, krijgen ook Zwarte zorgmedewerkers te maken met o.a. institutio-
neel racisme en discriminatie door patiënten. Om mensen beter te maken in plaats van zieker, moet 
racisme en discriminatie in de zorg en in de gezondheidszorg worden bestreden.",Modern Racism & Inequality,2,False
"Het gebruik van termen luistert nauw. Terwijl voor sommigen de term ‘inheems’ problematisch is omdat die een 
koloniale zienswijze impliceert, gebruiken anderen datzelfde begrip juist 
bewust om de zichtbaarheid van bepaalde bevolkingsgroepen te bevorde­
ren en een politieke strijd te voeren. De keuze voor specifieke termen 
hangt dus samen met de context. Zo ligt bijvoorbeeld het gebruik van de 
term ‘genocide’ buiten de context van de slachtoffers van het naziregime 
gevoelig. Tegelijkertijd is het onmiskenbaar dat de komst van Europese 
en ook Nederlandse kolonisatoren in Noord- en Zuid-Amerika en Azië 
gepaard ging met veroveringen van land, het verdrijven van de lokale 
bewoners én systematische ontvolkingen ten behoeve van de productie 
van koloniale waren. Daarom is het uitmoorden door gouverneur-­
generaal Jan Pieterszoon Coen van vrijwel de gehele bevolking van",Modern Racism & Inequality,2,False
"Creolen hadden een betere kans dan de eerste genera­
tie Afrikanen om gezinnen te stichten. In de avonden en op zondag werkten slaafgemaakten op hun eigen kost­
grondjes. Planters in het Caribisch gebied bezuinigden op de kosten van 
het onderhoud van de slaafgemaakten door ze een stukje land te geven 
waarop ze hun eigen voedsel konden verbouwen. Hoewel dat in feite een 
tweede ‘dienst’ betekende, betogen historici dat veel slaafgemaakten de 
veldjes toch ook beschouwden als iets positiefs. Ze konden er gewassen 
verbouwen die ze gewend waren uit hun eigen landen – veel slaafgemaak­
ten waren in West-Afrika boer geweest – en de tuintjes lagen vaak ver van 
het plantagehuis en verschaften dus een zekere mate van autonomie. De 
producten konden gegeten of verhandeld worden, net als de opbrengst 
van jacht en visserij, of die van de kippen en eenden die sommigen hiel­
den. De ‘ondergrondse’ slaafgemaakte economie die hieruit voortkwam 
wacht eveneens nog op onderzoek. Nieuwelingen leerden wat het betekende om slaafgemaakt te zijn 
in een Nederlandse kolonie. In de gebieden waar zij vandaan kwamen 
bestond slavernij in vele vormen, maar over het algemeen was het minder 
rigide dan de Atlantische slavernij, waarin slaafgemaakten volledig 
­eigendom van de slavenhouders waren, net als hun kinderen, en als ieder 
ander bezit naar willekeur behandeld en verhandeld konden worden.",Historical Slavery,1,False
"Het resterende één derde deel zou in 
contanten aan de houders van de slaaf-gemaakten worden uitbetaald.21 
 
17) Ontwerp van de heer N. Anslijn cum suis, 1848. Ook het ontwerp van Anslijn en 
twee anonieme personen was uitsluitend gericht op Aruba, Curaçao en Bonaire. Zij 
waren tegen onmiddellijke afschaffing van de slavernij. Zij vreesden namelijk dat de 
hypotheekverstrekkers de schadevergoeding zouden opeisen en dat de houders van de 
slaaf-gemaakten zonder arbeiders zouden komen te zitten. Daarom stelden zij voor dat 
de vrij te maken slaaf-gemaakten niet beneden de zestien noch boven de zestig jaar 
mochten zijn. Bovendien moesten de vrij te maken slaaf-gemaakten bewijzen dat zij in 
hun onderhoud konden voorzien. Ten slotte moesten zij zich, tegen betaling, aan arbeid 
verbinden voor in ieder geval drie jaar.22     
 
18) Ontwerp van de bisschop van Cytrum en apostolisch vicaris van Curaçao, de heer 
M.J. Nieuwindt, 1849. In een brief van bisschop Nieuwindt aan baron Van Wykersloot, 
bisschop van Curium, betoogde Nieuwindt dat de slaaf-gemaakten nog niet klaar waren 
voor Ǯhet genot der vrijheidǯ.",Historical Slavery,1,False
"The Triangulation of 
Barbados, Jamaica and Curaçao, University of the 
West Indies (Trinidad & Tobago 2016). ◼ ◼◼  D
Dalhuisen, Leo (red.), Sprekend verleden. Deel 3 boek 
ii (Haarlem 1987). Deelnemer aan de Reparation Summit in New 
York in 2015, interview door auteur, 14 juni 
2018, interview Dataset ‘Narrated (In)Justice’: 
https://doi.org/10.17026/dans-ze8-yg84. Dewulf, Jeroen, The Pinkster King and the King of 
Kongo. The Forgotten History of America’s Dutch-
Owned Slaves (Jackson 2017). Dijk, Wil O., ‘The Dutch Trade in Asian Slaves. Arakan and the Bay of Bengal, 1621–65. An 
End of History?,’ Newsletter of The International 
Institute for Asian Studies, (Den Haag 2008) 46. Dijksma, Sharon, speech 23 februari 2022, 
Janskerk, Utrecht: https://www.youtube.com/
watch?v=nj1ifo405ls.",Historical Slavery,1,False
"Bestuurlĳk Utrecht, koloniale 
belangen en slavernĳ
Nancy Jouwe, Matthias Lukkes, Remco Raben
Had bestuurlĳk Utrecht belangen in slavernĳ? Het is een vraag waar-
aan historici nog nauwelĳks aandacht hebben besteed. Toch is de 
vraag relevant. Inmiddels is duidelĳk dat stadsbesturen van de grote 
Nederlandse havensteden nauwe banden hadden met de overzeese 
koloniën en de slavernĳ, zoals ook blĳkt uit de recente publicaties over 
de slavernĳgeschiedenis van Amsterdam en Rotterdam.1 Minder goed 
onderzocht is de rol van regenten van steden zoals Utrecht, die een 
schĳnbaar minder centrale plaats innamen in de koloniale handel. Welke banden hadden zĳ met slavernĳ? Utrecht had zĳn grootste bloeiperiode in de middeleeuwen gekend. Met de opkomst van de maritieme en koloniale handel in de zeventiende 
eeuw verschoof het economische zwaartepunt naar de Hollandse en 
Zeeuwse steden. In Utrecht werd geen kamer gevestigd van de voc of de 
wic. Toch waren Utrechters op allerlei manieren zeer nauw betrokken 
bĳ de productie van en handel in goederen die op slavenarbeid waren 
gebaseerd. In dit hoofdstuk verkennen we dit vraagstuk.",Colonialism,0,False
"110 
WIM MANUHUTU
Een door de voc tegen Beens ingediende aanklacht vanwege mis-
dragingen en corruptie liep op niets uit. Beens spande op zĳn beurt 
aan zaak aan tegen de voc en slaagde er in 1756 in om een vergoeding 
van ruim 26.000 gulden (bĳna 300.000 euro) van de kamer Amsterdam 
van de voc los te krĳgen. Dit kwam bovenop de 55.000 gulden (ruim 
600.000 euro) die hĳ vanwege zĳn salaris en privéhandel op zĳn tegoed 
kon laten bĳschrĳven. Zĳn verblĳf op Celebes had hem een vermogend 
man gemaakt. Na zĳn terugkomst in de Republiek ging Beens met zĳn gezin in 
Utrecht wonen op de Nieuwegracht, waar hĳ een winkel uitbaatte in 
koloniale waren zoals koffie, thee en tabak. Beens was kapitaalkrachtig 
genoeg om ook het stadskasteel Klein Blankenburg aan de Oudegracht 
te kopen, dat deel uitmaakte van het Blankenburg-complex. In 1757 
verhuisde Beens naar Culemborg, waar hĳ in wĳn ging handelen. Vanuit 
Culemborg voerde hĳ nog een jarenlange strĳd met zĳn voormalige 
meerdere Joan Loten, die zich na zĳn terugkeer uit de Indonesische 
archipel ook in Utrecht had gevestigd. Beens nam het Loten uitermate 
kwalĳk dat hĳ hem niet tot het einde had gesteund en diende meerdere 
klachten tegen hem in. Hĳ benaderde daarbĳ zelfs familieleden en 
bekenden van Loten om hem zwart te maken en financiële genoeg-
doening te eisen.12
Het woonhuis van George Beens, Hoek Zuilenstraat en Nieuwegracht (Kosmopolis Utrecht/
Anna van Kooij)",Historical Slavery,1,False
"SCP-publicatie 2019-14. 384p. •	 Winter-Koçak, S. de en M. Badou (2020). Schoolloopbaan van jongeren met een 
migratieachtergrond. Utrecht: Kennisplatform Integratie & Samenleving. •	 Zwart Manifest (2021). Zwart Manifest. Manifest ter bestrijding van institutioneel anti-zwart 
racisme en ter bevordering van zwarte emancipatie in Nederland.",Modern Racism & Inequality,2,False
