filename,filepath,document_type,year,chunk_num,chunk_text,topic,cosine,cosine_weighted,topic_probs,topic_assigned,chunk_id,labels
ZWART_MANIFEST.3.txt,slavery_text\ZWART_MANIFEST.3.txt,,,0,nemer kleur vindt sprak institutionel racism werk uitgegroeid national beweg regelmat international bereikt manifest komt voort beweg twed zwart gemeenschap eigenar zwart manifest opgesteld werkgroep stichting beter nlwb black urban collectiv black queer tran resistanc bqtr actiegroep kick zwart piet kozp collectiev manifest gebaseerd materiaal hel verzameld open bijeenkomst vijf provincies bijeenkomst collectief zwart jacobines interview expert manifest aangescherpt inbreng deskund gemeenschap partnerorganisaties izi solution control alt delet stichting promis stichting ixl sickl cell awarenes zetj missie zwart manifest will institutionel racism bestrijd zwart emancipatie bevorder strev radical concret consistent positieverbeter zwart gemeenschap toekomst systematisch uitsluit marginaliser criminaliser discriminer zwart,Doorwerking & Raciale Ongelijkheid|Beleidsmaatregelen & Herstel,0.1776672636296754,"[0.005823027141035959, 0.21411621790119645, 0.006234839383788035]","[False, True, True]","[False, True, True]",ZWART_MANIFEST.3.txt__0,"[0, 1, 1]"
ZWART_MANIFEST.13.txt,slavery_text\ZWART_MANIFEST.13.txt,,,0,zorg welzijn zwart manifest schadelijk impact racism discriminatie psychisch fysiek gezond zwart mens mens kleur grot dagelijk stres dreiging geweld zorgt volgen amerikan sneller verouder zwart mens onevenred vak ziek lijd vaker mental aandoen bovenop aanwez klacht krijg mak vooroordel discriminatie racism wanner medisch hulp zoek huidskleur direct biologisch oorzak vanweg heid uitsluit armoed zwart mens mogelijk perspectiev zorg zwart mens krijg gevall zorg nodig gegan wit norm dominant wester diagnostisch system terwijl werk zorg iederen stressvol krijg zwart zorgmedewerker mak nel racism discriminatie patient mens beter mak plat zieker racism discriminatie zorg gezondheidszorg bestred algemen onderzocht positie zwart mens,Doorwerking & Raciale Ongelijkheid,0.2001041395540498,"[0.006814466018142829, 0.3890965886206189, 0.005054385419120572]","[False, True, False]","[False, True, False]",ZWART_MANIFEST.13.txt__0,"[0, 1, 0]"
Amsterdam en het slavernijverleden.59.txt,slavery_text\Amsterdam en het slavernijverleden.59.txt,,,1,samenwerkt slavenhandel verhal jacob baron peters lat goed zien person bestuurder wic bestuurder stad amsterdam priv slav handel vriendjespolitiek officieel bestond allerlei regel moest voorkom bestuurder person belang liet meeweg politiek besluitvorm slim familienetwerk zakelijk partnerschapp continue carrousel bestuursfuncties beperkt invloed zulk regel tegenwoord oproep corruptie vriendjespolitiek eeuw werd zulk bezwar gemaakt uitzonder gevall leid zelf rechtszak opstootjes tegelijk bestond vast overtu politiek macht hand moest rijkst best led bestur zichzelf ironie noemd netwerk voet deur krijg slavenhandel maakt kooplied contact stat verzocht amsterdam koopman jean deutz raadspensionaris holland johan witt goed woordj negotie handel slav vrund madrid werck grot,Koloniaal Verleden & Slavernij,0.1490998632821949,"[0.12403095266099526, 0.0025187294528529387, 0.0]","[True, False, False]","[True, False, False]",Amsterdam en het slavernijverleden.59.txt__1,"[1, 0, 0]"
Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.390.txt,slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.390.txt,,,0,geertj mak marit monteiro missie zending kolonien beker beschav ideologisch gezien stond protestant kerk wereldomspann kerk ambivalent tegenover kolonialism systematisch uitbuit druist christelijk princip gelijk mens geschap god beeld praktijk streefd zendel missionariss echter invloed aanhanger werkt daarin kolonial over probeerd grep krijg dagelijk lev plaatselijk bevolk tal cultur verhoud seksualiteit voortplant mens hierop gereageerd doorwerk hiervan zulk bied zendingsarchiev relevant bronn negenti eeuw voc wic verantwoord protestant kerk zending overzes gebied eind achttiend eeuw ging gebied stat inclusief verplicht ten aanzien kerk zending veranker vrijheid dienst grondwet ontstond ruimt nieuw protestant katholiek zending missie surinam gebied bronn regelgev afsprak,Koloniaal Verleden & Slavernij|Doorwerking & Raciale Ongelijkheid,0.1416666666666666,"[0.04929280247060787, 0.012325049112387599, 0.006241427196103125]","[True, True, False]","[True, True, False]",Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.390.txt__0,"[1, 1, 0]"
Nimako et al_2020_Een rapport met betrekking tot het onderzoeksproject over de periode voor de.129.txt,slavery_text\Nimako et al_2020_Een rapport met betrekking tot het onderzoeksproject over de periode voor de.129.txt,,,2,vind weegt zoo zwar moeijelijk toe overgan wet mijn stem gev wanner daarin bepal voorkom slavernij ander nam gedur tien spreker kritisch staatstoezichtvoorstel her heemskerk accepteerd component voorstel reger,,0.0371390676354103,"[0.15792093210976546, 0.0046224174324811336, 0.0041312166837086575]","[False, False, False]","[False, False, False]",Nimako et al_2020_Een rapport met betrekking tot het onderzoeksproject over de periode voor de.129.txt__2,"[0, 0, 0]"
ketenen van het verleden.151.txt,slavery_text\ketenen van het verleden.151.txt,,,2,nederlandsch eiland amsterdam brus curaçao zijn bewoner curaçao bosch reiz gedeelt noord america utrecht zie meeter volkskund curaçao willemstad pol danies del curaçao que santiago chil nolda vrouwenlev curaçao lat achttiend eeuw vroeg negenti eeuw amsterdam netherland ros mary gef kind nam voordat gebor aspha bijnar red opgroei slavernij heden verled haviser,Doorwerking & Raciale Ongelijkheid,0.1605910137093932,"[0.1289854367293943, 0.0020454608598237637, 0.014260118034201413]","[False, True, False]","[False, True, False]",ketenen van het verleden.151.txt__2,"[0, 1, 0]"
Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.281.txt,slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.281.txt,,,0,kolonial slavernij wereldwijd twee schilderij albert eckhoudt lat zien verschill lokal groep aangekek linker schilderij braziliaan beschaafd afgebeeld rechter schilderij tapuyaman gezien beschaafd,,0.0718421208107099,"[0.16482753814636256, 0.007241586068155142, 0.0]","[False, False, False]","[False, False, False]",Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.281.txt__0,"[0, 0, 0]"
ketenen van het verleden.49.txt,slavery_text\ketenen van het verleden.49.txt,,,0,regel aangehaald regel instell adviescolleg dialooggroep slavernijverled regel staatscourant geplaatst binnenland zak koninkrijksrelaties ollongr staatssecretaris binnenland zak koninkrijksrelaties knop staatscourant,Beleidsmaatregelen & Herstel,0.0514495755427526,"[0.0, 0.0016861048752413131, 0.04896782563099698]","[False, False, True]","[False, False, True]",ketenen van het verleden.49.txt__0,"[0, 0, 1]"
Jouwe e.a. - Slavernij en de stad Utrecht.49.txt,slavery_text\Jouwe e.a. - Slavernij en de stad Utrecht.49.txt,,,1,lodewĳk xiv hertog filip anjou aanwes zĳn universel erfgenam nadat tron besteg filip spanj viel fran troep span nederland zĳn erfenis veilig stell bovendien wes filip asiento toe fran compagnie guinee assient royaum franc republiek engeland keizer steund oostenrĳk aartshertog karel aansprak maakt span tron slot grot alliantie verklaard oorlog spanj frankrĳk vond grot machtsblok ontstan europa woed span sieoorlog geallieerd twee kron europa del uitgevocht overzes kolonien wereldzeeen hoewel frans tĳden conflict asiento had ging wic steun gouverneur curaçao tĳden log gewon handel slaafgemaakt amerika gebeur fran compagnie guinee voldoend slaafgemaakt lever daarom afhankelĳk slavenschep zorgd echter frictie nederlander,Koloniaal Verleden & Slavernij|Beleidsmaatregelen & Herstel,0.1447136102289872,"[0.05570165639523965, 0.0, 0.0012190800494607096]","[True, False, True]","[True, False, True]",Jouwe e.a. - Slavernij en de stad Utrecht.49.txt__1,"[1, 0, 1]"
ketenen van het verleden.202.txt,slavery_text\ketenen van het verleden.202.txt,,,1,hoger autochton vrouw war aandel ongever bedraagt cultur wetenschap kerncijfer cultur wetenschap jeremy yamashiro jeremy henry roediger iii memory cognition see schwarz norbert bles herbert strack fritz klumpp gisela helga simon annet pachur thorst hertwig ralph steinmann florian applied arnold stev gelman negativity bias availability hueristic versterkt feit social media grossiert item voortdur racism uitsluit slecht gat daarnaast negativity bias activist campagn racism voorbeeld zie esajas mitchell onschuld jop onlin publicatie precariaat sociologisch term nederlander sociaal culturel economisch kapital bijna helft werkelos engbers godfried gijs custer iris glas rik snel maasstad monitor lijstjes rotterdam rotterdam kenniswerkplat leefbar wijk zie gijs,Doorwerking & Raciale Ongelijkheid,0.1012632079688155,"[0.0012897948159324658, 0.1678704194367661, 0.0058737223932256956]","[False, True, False]","[False, True, False]",ketenen van het verleden.202.txt__1,"[0, 1, 0]"
