label_id,__hard_label_name,__argmax_cos_id,__argmax_cos_name,__cos_max,__cos_margin,__wrong_label,__low_signal,cos_Colonialism,cos_Historical slavery,cos_Modern racism& inequality,snippet
1,Historical slavery,0,Colonialism,,,True,False,,,,"306 NOTEN 29. J. Wolbers, De slavernĳ in Suriname, of dezelfde gruwelen der slavernĳ, die in de ‘Negerhut’ geschetst zĳn, bestaan ook in onze West-Indische koloniën! (Amsterdam: H. de Hoogh, 1853); J. Wolbers, Ten voordeele van de emancipat"
2,Modern racism& inequality,0,Colonialism,,,True,False,,,,RACISME BIJ HET MINISTERIE VAN BUITENLANDSE ZAKEN Een verkennend onderzoek 26 de nadruk leggen op het migrant zijn. De term allochtoon betekent zelfs letterlijk “niet van deze bodem”. Het is nogal problematisch om grote groepen Nederlanders
1,Historical slavery,0,Colonialism,,,True,False,,,,"— 143 — — SLAVERNIJ, AFSCHAFFINGEN EN DOORWERKINGEN — ­Onderzoekers die de arbeidsgeschiedenis van het Britse rijk hebben ­bestudeerd stellen bijvoorbeeld dat de afschaffing van slavernij leidde tot een intensivering van kolonisatie en het "
1,Historical slavery,0,Colonialism,,,True,False,,,,"282 NOTEN 5. De Jong, Jonker en Röell, ‘De ontwikkeling van de naamloze vennoot- schap in Nederland tot 1850’, 225. 6. Slechte, ‘De Firma List en Bedrog’, 181-183. 7. Van Rĳn, Het groote Tafereel der Dwaasheid en zĳn geschiedenis, i. 8. Fab"
1,Historical slavery,0,Colonialism,,,True,False,,,,"26 NANCY JOUWE, MATTHIJS KUIPERS EN REMCO RABEN slaaf gemaakt’ te gebruiken in plaats van ‘slaaf’, naar analogie met het Engelstalige enslaved in plaats van slave. Dat is een keuze die snel aan terrein wint in de geschiedschrĳving, die voor"
2,Modern racism& inequality,0,Colonialism,,,True,False,,,,RACISME BIJ HET MINISTERIE VAN BUITENLANDSE ZAKEN Een verkennend onderzoek 74 “Het is een oer-Hollandse organisatie. Je moet alle mores kennen. Ik heb op een gegeven ogenblik ook besloten: ik wil verder en doorgroeien. Dat kan niet hier. Da
2,Modern racism& inequality,0,Colonialism,,,True,False,,,,NINSEE 3 Een ander woord waar moeilijk een equivalent voor kan worden gevonden in het Nederlands is het woord captivity. Soms wordt het woord gevangene of vastgezette persoon gebruikt als een synoniem voor captive. Maar captive betekent nie
1,Historical slavery,0,Colonialism,,,True,False,,,,"Het leven van slaafgemaakten in Suriname en de Caraïbische eilanden Afrikanen die naar plantages in Amerika werden gebracht, waren de rest van hun leven het bezit van iemand anders, tenzij ze ontsnapten of vrijgekocht werden. Hetzelfde gold"
1,Historical slavery,0,Colonialism,,,True,False,,,,Door de slaafgemaakten uit deze regio’s te verplaatsen naar hun verschillende nederzettingen in de Indische Oceaan en de Indo­ nesische archipel creëerden de Nederlanders een functioneel netwerk in hun Aziatische rijk. Slaafgemaakten werden
1,Historical slavery,0,Colonialism,,,True,False,,,,"Writing ethnographic fieldnotes. University of Chicago press. 59. Van Hulst, M., & Visser, E. L. (2024). Abductive analysis in qualitative public admi- nistration research. Public Administration Review. https://doi.org/10.1111/ puar.13856 6"
