topic,term,cosine,df
Modern racism& inequality,gemeenschappen,0.5726,58
Modern racism& inequality,population,0.5702,6
Modern racism& inequality,overnamen,0.5694,5
Modern racism& inequality,werkgroep,0.5666,10
Modern racism& inequality,samenstelling,0.5626,12
Modern racism& inequality,vereenigen,0.5616,13
Modern racism& inequality,verdeling,0.5601,6
Modern racism& inequality,verspreid,0.5576,6
Modern racism& inequality,armoede,0.5558,19
Modern racism& inequality,opbouwen,0.5555,7
Modern racism& inequality,overname,0.5551,5
Modern racism& inequality,omgekeerd,0.5547,7
Modern racism& inequality,inventarisatie,0.5538,5
Modern racism& inequality,reproduceren,0.5527,5
Modern racism& inequality,onmacht,0.5522,5
Modern racism& inequality,billijkheid,0.552,6
Modern racism& inequality,organization,0.5501,5
