term,parent,cosine,decision,rationale
sluitende,uitsluiting,0.709,REMOVE,Orthographic similarity to uitsluiting but wrong meaning
afhandeling,uitsluiting,0.699,REMOVE,Orthographic similarity to uitsluiting but wrong meaning
intrekken,uitsluiting,0.697,REMOVE,Orthographic similarity to uitsluiting but wrong meaning
aaneenschakeling,uitsluiting,0.695,REMOVE,Orthographic similarity to uitsluiting but wrong meaning
antiracisme-golf,anti-zwartracisme,0.694,KEEP,Anti-racism term. Lower to 0.75 related_moderate
uitsluitende,uitsluiting,0.693,KEEP,Contains exclusion/closing root. Lower to 0.75 related_moderate
aantrekken,uitsluiting,0.691,REMOVE,Orthographic similarity to uitsluiting but wrong meaning
aangrenzende,uitsluiting,0.691,REMOVE,Orthographic similarity to uitsluiting but wrong meaning
verstreken,uitsluiting,0.69,REMOVE,Orthographic similarity to uitsluiting but wrong meaning
afgesloten,uitsluiting,0.689,REMOVE,Orthographic similarity to uitsluiting but wrong meaning
uitreden,uitsluiting,0.686,REMOVE,Orthographic similarity to uitsluiting but wrong meaning
uitroeiing,uitsluiting,0.682,REMOVE,Orthographic similarity to uitsluiting but wrong meaning
uitstrekt,uitsluiting,0.68,REMOVE,Orthographic similarity to uitsluiting but wrong meaning
afkeer,uitsluiting,0.679,REMOVE,Orthographic similarity to uitsluiting but wrong meaning
voortrekken,uitsluiting,0.677,REMOVE,Orthographic similarity to uitsluiting but wrong meaning
uitnodigen,uitsluiting,0.676,REMOVE,Orthographic similarity to uitsluiting but wrong meaning
uitge-,uitsluiting,0.675,REMOVE,Orthographic similarity to uitsluiting but wrong meaning
uitmaken,uitsluiting,0.673,REMOVE,Orthographic similarity to uitsluiting but wrong meaning
uitlatingen,uitsluiting,0.67,REMOVE,Orthographic similarity to uitsluiting but wrong meaning
uitbannen,uitsluiting,0.668,REMOVE,Orthographic similarity to uitsluiting but wrong meaning
opluchting,uitsluiting,0.666,REMOVE,Orthographic similarity to uitsluiting but wrong meaning
aangesloten,uitsluiting,0.665,REMOVE,Orthographic similarity to uitsluiting but wrong meaning
aansluitende,uitsluiting,0.664,KEEP,Contains exclusion/closing root. Lower to 0.75 related_moderate
uitstek,uitsluiting,0.663,REMOVE,Orthographic similarity to uitsluiting but wrong meaning
uitbreken,uitsluiting,0.662,REMOVE,Orthographic similarity to uitsluiting but wrong meaning
afzet,uitsluiting,0.66,REMOVE,Orthographic similarity to uitsluiting but wrong meaning
uitvoe-,uitsluiting,0.66,REMOVE,Orthographic similarity to uitsluiting but wrong meaning
uit-,uitsluiting,0.66,REMOVE,Orthographic similarity to uitsluiting but wrong meaning
uitging,uitsluiting,0.659,REMOVE,Orthographic similarity to uitsluiting but wrong meaning
onttrekken,uitsluiting,0.658,REMOVE,Orthographic similarity to uitsluiting but wrong meaning
onthulling,uitsluiting,0.655,REMOVE,Orthographic similarity to uitsluiting but wrong meaning
uitwerking,uitsluiting,0.655,REMOVE,Orthographic similarity to uitsluiting but wrong meaning
uitdragen,uitsluiting,0.655,REMOVE,Orthographic similarity to uitsluiting but wrong meaning
uitwisselingen,uitsluiting,0.653,REMOVE,Orthographic similarity to uitsluiting but wrong meaning
uitgezet,uitsluiting,0.653,REMOVE,Orthographic similarity to uitsluiting but wrong meaning
opgesloten,uitsluiting,0.653,REMOVE,Orthographic similarity to uitsluiting but wrong meaning
uitstel,uitsluiting,0.651,REMOVE,Orthographic similarity to uitsluiting but wrong meaning
